Name of Member,Party Name,Constituency,State,UT,Category,Woman,First time,Age,DOB
"Patel, Smt. Anupriya",Apna Dal,Mirzapur,Uttar Pradesh,0,General,1,0,40,4/28/1981
"Patel, Smt. Keshari Devi",Bharatiya Janata Party,Phulpur,Uttar Pradesh,0,General,1,1,64,1/1/1957
"Patel, Shri R.K. Singh",Bharatiya Janata Party,Banda,Uttar Pradesh,0,General,0,0,62,3/7/1959
"Pathak, Shri Subrat",Bharatiya Janata Party,Kannauj,Uttar Pradesh,0,General,0,1,41,6/30/1979
"Rajput, Shri Mukesh",Bharatiya Janata Party,Farrukhabad,Uttar Pradesh,0,General,0,0,52,8/8/1968
"Rawat, Shri Ashok Kumar",Bharatiya Janata Party,Misrikh,Uttar Pradesh,0,SC,0,0,45,11/26/1975
"Rawat, Shri Upendra Singh",Bharatiya Janata Party,Barabanki,Uttar Pradesh,0,SC,0,1,52,1/17/1969
"Rehman, Shri Haji Fazlur",Bahujan Samaj Party,Saharanpur,Uttar Pradesh,0,General,0,1,69,11/30/1951
"Sagar, Shri Arun Kumar",Bharatiya Janata Party,Shahjahanpur,Uttar Pradesh,0,SC,0,1,45,1/5/1976
"Sen, Dr. Jadon Chandra",Bharatiya Janata Party,Firozabad,Uttar Pradesh,0,General,0,1,71,6/7/1950
"Sharma, Shri Anurag",Bharatiya Janata Party,Jhansi,Uttar Pradesh,0,General,0,1,56,11/16/1964
"Sharma, Dr. Mahesh",Bharatiya Janata Party,Gautam Buddha Nagar,Uttar Pradesh,0,General,0,0,61,9/30/1959
"Shukla, Shri Ravi Kishan",Bharatiya Janata Party,Gorakhpur,Uttar Pradesh,0,General,0,1,51,7/17/1969
"Singh, Shri Atul Kumar",Bahujan Samaj Party,Ghosi,Uttar Pradesh,0,General,0,1,39,2/20/1982
"Singh, Shri Bhola",Bharatiya Janata Party,Bulandshahr,Uttar Pradesh,0,SC,0,0,43,10/9/1977
"Singh, Shri Brijbhushan Sharan",Bharatiya Janata Party,Kaiserganj,Uttar Pradesh,0,General,0,0,63,8/1/1957
"Singh, Shri Devendra (Alias) Bhole Singh",Bharatiya Janata Party,Akbarpur,Uttar Pradesh,0,General,0,0,67,2/4/1954
"Singh, Shri Kirti Vardhan",Bharatiya Janata Party,Gonda,Uttar Pradesh,0,General,0,0,55,1/3/1966
"Singh, Shri Lallu",Bharatiya Janata Party,Faizabad,Uttar Pradesh,0,General,0,0,67,1/11/1954
"Singh, Shri Raj Nath",Bharatiya Janata Party,Lucknow,Uttar Pradesh,0,General,0,0,69,10/7/1951
"Singh, Shri Rajveer (Raju Bhaiya)",Bharatiya Janata Party,Etah,Uttar Pradesh,0,General,0,0,62,3/15/1959
"Singh, Dr. Satya Pal",Bharatiya Janata Party,Baghpat,Uttar Pradesh,0,General,0,0,65,11/29/1955
"Singh, Shri Virendra",Bharatiya Janata Party,Ballia,Uttar Pradesh,0,General,0,0,64,10/21/1956
"Sonkar, Shri Vinod Kumar",Bharatiya Janata Party,Kaushambi,Uttar Pradesh,0,SC,0,0,51,2/18/1970
"Swami Maharaj, Dr. Sakshi Ji",Bharatiya Janata Party,Unnao,Uttar Pradesh,0,General,0,0,64,12/1/1956
"Tripathi, Dr. Ramapati Ram",Bharatiya Janata Party,Deoria,Uttar Pradesh,0,General,0,1,70,1/1/1951
"Verma, Shri Bhanu Pratap Singh",Bharatiya Janata Party,Jalaun,Uttar Pradesh,0,SC,0,0,63,7/15/1957
"Verma, Shri Rajesh",Bharatiya Janata Party,Sitapur,Uttar Pradesh,0,General,0,0,61,6/11/1960
"Verma, Smt. Rekha Arun",Bharatiya Janata Party,Dhaurahra,Uttar Pradesh,0,General,1,0,48,5/20/1973
"Verma, Shri Ram Shiromani",Bahujan Samaj Party,Shrawasti,Uttar Pradesh,0,General,0,1,46,5/8/1975
"Yadav, Shri Akhilesh",Samajwadi Party,Azamgarh,Uttar Pradesh,0,General,0,0,48,1/7/1973
"Yadav, Shri Mulayam Singh",Samajwadi Party,Mainpuri,Uttar Pradesh,0,General,0,0,81,11/22/1939
"Yadav, Shri Shyam Singh",Bahujan Samaj Party,Jaunpur,Uttar Pradesh,0,General,0,1,67,3/31/1954
"Bhatt, Shri Ajay",Bharatiya Janata Party,Nainital-Udhamsingh Nagar,Uttarakhand,0,General,0,1,60,1/5/1961
"Nishank, Dr. Ramesh Pokhriyal",Bharatiya Janata Party,Hardwar,Uttarakhand,0,General,0,0,61,7/15/1959
"Rawat, Shri Tirath Singh",Bharatiya Janata Party,Garhwal,Uttarakhand,0,General,0,1,56,9/4/1964
"Shah, Smt. Mala Rajya Laxmi",Bharatiya Janata Party,Tehri Garhwal,Uttarakhand,0,General,1,0,70,8/23/1950
"Tamta, Shri Ajay",Bharatiya Janata Party,Almora,Uttarakhand,0,SC,0,0,48,7/16/1972
"Adhikari, Shri Deepak (Dev)",All India Trinamool Congress,Ghatal,West Bengal,0,General,0,0,38,12/25/1982
"Adhikari, Shri Dibyendu",All India Trinamool Congress,Tamluk,West Bengal,0,General,0,0,44,12/24/1976
"Adhikari, Shri Sisir Kumar",All India Trinamool Congress,Kanthi,West Bengal,0,General,0,0,79,9/19/1941
"Ahluwalia, Shri S.S.",Bharatiya Janata Party,Bardhaman-Durgapur,West Bengal,0,General,0,0,70,4/7/1951
"Ahmed, Smt. Sajda",All India Trinamool Congress,Uluberia,West Bengal,0,General,1,0,58,6/22/1962
"Babul Supriyo, Shri",Bharatiya Janata Party,Asansol,West Bengal,0,General,0,0,50,12/15/1970
"Bandyopadhyay, Shri Sudip",All India Trinamool Congress,Kolkata Uttar,West Bengal,0,General,0,0,72,6/1/1949
"Banerjee, Shri Abhishek",All India Trinamool Congress,Diamond Harbour,West Bengal,0,General,0,0,33,7/11/1987
"Banerjee, Shri Kalyan",All India Trinamool Congress,Serampore,West Bengal,0,General,0,0,64,4/1/1957
"Banerjee, Shri Prasun",All India Trinamool Congress,Howrah,West Bengal,0,General,0,0,66,6/4/1955
"Barla, Shri John",Bharatiya Janata Party,Alipurduars,West Bengal,0,ST,0,1,45,8/8/1975
"Bista, Shri Raju",Bharatiya Janata Party,Darjeeling,West Bengal,0,General,0,1,35,3/1/1986
"Chakraborty, Ms. Mimi",All India Trinamool Congress,Jadavpur,West Bengal,0,General,1,1,,
"Chatterjee, Smt. Locket",Bharatiya Janata Party,Hooghly,West Bengal,0,General,1,1,47,4/12/1974
"Chaudhuri, Km. Debasree",Bharatiya Janata Party,Raiganj,West Bengal,0,General,1,1,50,1/31/1971
"Choudhury, Shri Abu Hasem Khan",Indian National Congress,Maldaha Dakshin,West Bengal,0,General,0,0,79,12/1/1941
"Chowdhury, Shri Adhir Ranjan",Indian National Congress,Baharampur,West Bengal,0,General,0,0,65,2/4/1956
"Dastidar, Dr. (Smt.) Kakoli Ghosh",All India Trinamool Congress,Barasat,West Bengal,0,General,1,0,61,11/23/1959
"Ghosh, Shri Dilip",Bharatiya Janata Party,Medinipur,West Bengal,0,General,0,1,57,1/8/1964
"Hembram, Shri Kunar",Bharatiya Janata Party,Jhargram,West Bengal,0,ST,0,1,58,9/23/1962
"Jatua, Shri Choudhury Mohan",All India Trinamool Congress,Mathurapur,West Bengal,0,SC,0,0,82,9/6/1938
"Khan, Shri Abu Taher",All India Trinamool Congress,Murshidabad,West Bengal,0,General,0,1,56,11/23/1964
"Mahato, Shri Jyotirmay Singh",Bharatiya Janata Party,Purulia,West Bengal,0,General,0,1,36,2/5/1985
"Majumdar, Dr. Sukanta",Bharatiya Janata Party,Balurghat,West Bengal,0,General,0,1,41,12/29/1979
"Mal, Shri Asit Kumar",All India Trinamool Congress,Bolpur,West Bengal,0,SC,0,1,65,11/7/1955
"Moitra, Smt. Mahua",All India Trinamool Congress,Krishnanagar,West Bengal,0,General,1,1,46,12/10/1974
"Mondal, Smt. Pratima",All India Trinamool Congress,Jaynagar,West Bengal,0,SC,1,0,55,2/16/1966
"Mondal, Shri Sunil Kumar",All India Trinamool Congress,Bardhaman Purba,West Bengal,0,SC,0,0,63,5/16/1958
"Murmu, Shri Khagen",Bharatiya Janata Party,Maldaha Uttar,West Bengal,0,General,0,1,61,2/2/1960
"Poddar, Smt. Aparupa",All India Trinamool Congress,Arambagh,West Bengal,0,SC,1,0,34,8/1/1986
"Pramanik, Shri Nisith",Bharatiya Janata Party,Coochbehar,West Bengal,0,SC,0,1,35,1/17/1986
"Rahaman, Shri Khalilur",All India Trinamool Congress,Jangipur,West Bengal,0,General,0,1,61,1/9/1960
"Ray, Prof. Sougata",All India Trinamool Congress,Dum Dum,West Bengal,0,General,0,0,74,6/8/1947
"Roy, Dr. Jayanta Kumar",Bharatiya Janata Party,Jalpaiguri,West Bengal,0,SC,0,1,53,3/2/1968
"Roy, Smt. Mala",All India Trinamool Congress,Kolkata Dakshin,West Bengal,0,General,1,1,63,11/19/1957
"Roy (Banerjee), Smt. Satabdi",All India Trinamool Congress,Birbhum,West Bengal,0,General,1,0,52,5/10/1969
"Ruhi, Smt. Nusrat Jahan",All India Trinamool Congress,Basirhat,West Bengal,0,General,1,1,30,8/1/1990
"Sarkar, Shri Jagannath",Bharatiya Janata Party,Ranaghat,West Bengal,0,SC,0,1,58,2/1/1963
"Sarkar, Dr. Subhas",Bharatiya Janata Party,Bankura,West Bengal,0,General,0,1,67,11/25/1953
"Saumitra, Shri Khan",Bharatiya Janata Party,Bishnupur,West Bengal,0,SC,0,0,40,8/12/1980
"Singh, Shri Arjun",Bharatiya Janata Party,Barrackpur,West Bengal,0,General,0,1,59,2/4/1962
"Thakur, Shri Shantanu",Bharatiya Janata Party,Bangaon,West Bengal,0,SC,0,1,39,3/8/1982
